t;y
0;-0.104
0.0167;-0.107
0.0333;-0.113
0.05;-0.12
0.0667;-0.128
0.0833;-0.138
0.1;-0.149
0.117;-0.161
0.133;-0.172
0.15;-0.184
0.167;-0.194
0.183;-0.204
0.2;-0.213
0.217;-0.221
0.233;-0.226
0.25;-0.23
0.267;-0.233
0.283;-0.233
0.3;-0.232
0.317;-0.228
0.333;-0.223
0.35;-0.216
0.367;-0.208
0.383;-0.199
0.4;-0.188
0.417;-0.18
0.433;-0.169
0.45;-0.158
0.467;-0.147
0.483;-0.136
0.5;-0.127
0.517;-0.119
0.533;-0.11
0.55;-0.105
0.567;-0.103
0.583;-0.102
0.6;-0.103
0.617;-0.106
0.633;-0.111
0.65;-0.118
0.667;-0.126
0.683;-0.136
0.7;-0.147
0.717;-0.158
0.733;-0.17
0.75;-0.181
0.767;-0.192
0.783;-0.203
0.8;-0.212
0.817;-0.219
0.833;-0.225
0.85;-0.23
0.867;-0.233
0.883;-0.236
0.9;-0.235
0.917;-0.232
0.933;-0.227
0.95;-0.221
0.983;-0.203
1;-0.192
1.017;-0.181
1.033;-0.17
1.05;-0.159
1.067;-0.147
1.083;-0.137
1.1;-0.127
1.117;-0.119
1.133;-0.112
1.15;-0.107
1.167;-0.104
1.183;-0.102
1.2;-0.103
1.217;-0.106
1.233;-0.111
1.25;-0.118
1.267;-0.126
1.283;-0.135
1.3;-0.145
1.317;-0.156
1.333;-0.168
1.35;-0.179
1.367;-0.19
1.383;-0.201
1.4;-0.21
1.417;-0.218
1.433;-0.225
1.45;-0.23
1.467;-0.232
1.483;-0.234
1.5;-0.233
1.517;-0.23
1.533;-0.226
1.55;-0.22
1.567;-0.212
1.583;-0.203
1.617;-0.182
1.633;-0.171
1.65;-0.159
1.667;-0.148
1.683;-0.137
1.7;-0.127
1.717;-0.118
1.733;-0.111
1.75;-0.106
1.767;-0.102
1.783;-0.101
1.8;-0.102
1.817;-0.104
1.833;-0.109
1.85;-0.115
1.867;-0.123
1.883;-0.132
1.9;-0.143
1.917;-0.154
1.933;-0.166
1.95;-0.177
1.967;-0.189
1.983;-0.199
2;-0.209
2.017;-0.217
2.033;-0.224
2.05;-0.23
2.067;-0.234
2.083;-0.235
2.1;-0.235
2.117;-0.232
2.133;-0.228
2.15;-0.222
2.167;-0.214
2.183;-0.205
2.2;-0.195
2.217;-0.184
2.233;-0.173
2.25;-0.161
2.267;-0.15
2.283;-0.139
2.3;-0.129
2.317;-0.12
2.333;-0.113
2.35;-0.108
2.367;-0.104
2.383;-0.102
2.4;-0.102
2.417;-0.105
2.433;-0.109
2.45;-0.114
2.467;-0.122
2.483;-0.131
2.5;-0.14
2.517;-0.151
2.533;-0.162
2.55;-0.173
2.567;-0.185
2.583;-0.195
2.6;-0.205
2.617;-0.213
2.633;-0.221
2.65;-0.228
2.667;-0.232
2.683;-0.234
2.7;-0.235
2.717;-0.233
2.733;-0.229
2.75;-0.224
2.767;-0.216
2.783;-0.208
2.8;-0.197
2.817;-0.187
2.833;-0.176
2.85;-0.164
2.867;-0.153
2.883;-0.143
2.9;-0.133
2.917;-0.124

