t (s);A (deg)
0;21.2
0.1;63.5
0.2;102.4
0.3;129.8
0.4;141.1
0.5;135.4
0.6;113.8
0.7;78.3
0.8;32.9
0.9;-16.7
1;-61.9
1.1;-102.4
1.2;-132.5
1.3;-147.2
1.4;-142.2
1.5;-120.4
1.6;-85.5
1.7;-41
1.8;6.7
1.9;55.6
2;94.5
2.1;124.4
2.2;139.7
2.3;137.7
2.4;119.2
2.5;86.2
2.6;42.8
2.7;-4.3
2.8;-52.4
2.9;-95.8
3;-126
3.1;-144.7
3.2;-145.6
3.3;-128.7
3.4;-98.3
3.5;-57.1
3.6;-9.7
3.7;38.7
3.8;82.4
3.9;117.2
4;135.9
4.1;139.7
4.2;126.4
4.3;97.9
4.4;57.8
4.5;11
4.6;-36.5
4.7;-81.2
4.8;-116.8
4.9;-140.4
5;-147.6
5.1;-137.7
5.2;-113.4
5.3;-76.5
5.4;-31.7
5.5;16.4
5.6;63
5.7;101.5
5.8;128.2
5.9;139.7
6;134.1
6.1;112.5
6.2;77.4
6.3;32.9
6.4;-15.1
6.5;-61.4
6.6;-101.3
6.7;-130.7
6.8;-145.8
6.9;-144.2
7;-127.4
7.1;-96.8
7.2;-56.2
7.3;-8.5
7.4;39.4
7.5;82.6
7.6;116.5
7.7;135.7
7.8;139
7.9;124.6
8;97
8.1;56.3
8.2;10.1
8.3;-37.3
8.4;-81.4
8.5;-116.8
8.6;-139.9
8.7;-147.4
8.8;-137.7
8.9;-112.7
9;-76
9.1;-32
9.2;16
9.3;62.8
9.4;101.3
9.5;128.3
9.6;139.7
9.7;134.5
9.8;112.9
9.9;77
10;33.1
10.1;-14
10.2;-61.4
10.3;-101.5
10.4;-131.2
10.5;-146.2
10.6;-143.8
10.7;-125.1
10.8;-92.5
10.9;-50.6
11;-2.9
11.1;44.6
11.2;87.3
11.3;119.5
11.4;137.5
11.5;139
11.6;123.8
11.7;93.4
11.8;52.2
11.9;4.5
12;-44.8
12.1;-86.6
12.2;-121.3
12.3;-142.4
12.4;-147.1
12.5;-133
12.6;-105.1
12.7;-65
12.8;-17.8
12.9;30.1
13;77.4
13.1;110.9
13.2;133.7
13.3;140.9
13.4;130.9
13.5;104.8
13.6;66.2
13.7;19.8
13.8;-28.4
13.9;-73.6
14;-112.7
14.1;-137.7
14.2;-148
14.3;-138.4
14.4;-113.9
14.5;-76.9
14.6;-31.7
14.7;16.7
14.8;63.7
14.9;102.8

